n,omega1,omega2,zeta1,zeta2,varPhi1,varPhi2,upsilon,chi,xi,gammau
250.000000,4.730229,1.512498,2.998561,1.854133,0.896581,2.551643,0.217437,0.848431,0.707787,0.162655
202.000000,2.773812,1.918309,2.301621,2.870943,0.957205,2.722794,0.284782,0.722711,0.629582,0.260552
159.000000,3.072610,4.460081,2.743720,2.744405,0.773050,1.236973,0.217632,0.574452,0.602992,0.182358
170.000000,2.158519,1.568481,2.674972,2.118808,0.534171,3.496120,0.215159,0.338796,0.467681,0.144425
157.000000,2.876954,1.384689,2.855055,1.679236,1.024799,1.334492,0.279215,0.828359,0.379358,0.216878
207.000000,3.455753,4.826143,1.891468,1.846523,1.033448,4.799753,0.173265,0.532480,0.659291,0.109069
164.000000,4.169614,1.119205,2.824688,2.311182,0.947980,4.568543,0.144396,0.530740,0.591379,0.172252
207.000000,3.551346,1.505260,2.535307,2.471624,0.853939,4.052932,0.139133,0.702231,0.728805,0.102334
200.000000,1.295168,4.147806,1.596101,2.032966,1.441837,2.519213,0.240730,0.717276,0.380816,0.254548
165.000000,3.314536,1.036032,2.563564,2.205961,1.264593,2.869571,0.117250,0.765354,0.530795,0.114016
