omega1,omega2,zeta1,zeta2,varPhi1,varPhi2,upsilon,chi,xi,gammau,n
2.750000,1.750000,2.812500,2.531250,0.968750,5.000000,0.221875,0.600000,0.256250,0.218750,250.000000
1.500000,2.500000,2.203125,2.625000,0.812500,4.625000,0.159375,0.250000,0.800000,0.268750,241.000000
4.625000,1.625000,1.546875,2.578125,0.531250,2.250000,0.292187,0.575000,0.462500,0.175000,237.000000
5.000000,2.625000,2.906250,2.718750,0.562500,2.750000,0.073438,0.225000,0.725000,0.143750,206.000000
2.875000,1.875000,2.531250,2.109375,1.062500,1.250000,0.081250,0.675000,0.218750,0.237500,244.000000
2.250000,2.125000,2.156250,1.734375,1.375000,1.125000,0.182812,0.275000,0.762500,0.250000,247.000000
4.875000,2.000000,1.500000,2.062500,1.406250,4.500000,0.050000,0.625000,0.481250,0.156250,219.000000
4.750000,2.375000,2.859375,1.828125,1.500000,3.125000,0.284375,0.300000,0.612500,0.137500,203.000000
1.875000,3.125000,2.578125,1.500000,0.687500,3.375000,0.198437,0.350000,0.350000,0.112500,216.000000
2.125000,3.750000,1.828125,1.640625,0.875000,4.375000,0.096875,0.525000,0.593750,0.106250,225.000000
4.000000,4.875000,2.015625,1.687500,0.656250,2.500000,0.206250,0.150000,0.331250,0.231250,222.000000
3.625000,4.750000,2.625000,2.203125,0.906250,1.875000,0.089063,0.875000,0.631250,0.212500,228.000000
1.750000,3.250000,2.390625,2.953125,1.281250,2.375000,0.120313,0.200000,0.293750,0.100000,209.000000
2.500000,4.500000,1.734375,2.906250,1.218750,2.000000,0.245312,0.550000,0.556250,0.125000,234.000000
4.375000,4.625000,2.062500,2.484375,1.250000,3.875000,0.135937,0.100000,0.312500,0.281250,212.000000
3.375000,5.000000,2.718750,2.343750,1.156250,4.250000,0.237500,0.825000,0.575000,0.206250,231.000000
3.000000,3.000000,2.250000,2.250000,1.000000,3.000000,0.175000,0.500000,0.500000,0.200000,200.000000
3.250000,4.250000,1.687500,1.968750,1.031250,1.000000,0.128125,0.400000,0.743750,0.181250,150.000000
4.500000,3.500000,2.296875,1.875000,1.187500,1.375000,0.190625,0.750000,0.200000,0.131250,159.000000
1.375000,4.375000,2.953125,1.921875,1.468750,3.750000,0.057813,0.425000,0.537500,0.225000,162.000000
1.000000,3.375000,1.593750,1.781250,1.437500,3.250000,0.276562,0.775000,0.275000,0.256250,194.000000
3.125000,4.125000,1.968750,2.390625,0.937500,4.750000,0.268750,0.325000,0.781250,0.162500,156.000000
3.750000,3.875000,2.343750,2.765625,0.625000,4.875000,0.167187,0.725000,0.237500,0.150000,153.000000
1.125000,4.000000,3.000000,2.437500,0.593750,1.500000,0.300000,0.375000,0.518750,0.243750,181.000000
1.250000,3.625000,1.640625,2.671875,0.500000,2.875000,0.065625,0.700000,0.387500,0.262500,197.000000
4.125000,2.875000,1.921875,3.000000,1.312500,2.625000,0.151562,0.650000,0.650000,0.287500,184.000000
3.875000,2.250000,2.671875,2.859375,1.125000,1.625000,0.253125,0.475000,0.406250,0.293750,175.000000
2.000000,1.125000,2.484375,2.812500,1.343750,3.500000,0.143750,0.850000,0.668750,0.168750,178.000000
2.375000,1.250000,1.875000,2.296875,1.093750,4.125000,0.260937,0.125000,0.368750,0.187500,172.000000
4.250000,2.750000,2.109375,1.546875,0.718750,3.625000,0.229687,0.800000,0.706250,0.300000,191.000000
3.500000,1.500000,2.765625,1.593750,0.781250,4.000000,0.104688,0.450000,0.443750,0.275000,166.000000
1.625000,1.375000,2.437500,2.015625,0.750000,2.125000,0.214062,0.900000,0.687500,0.118750,187.000000
2.625000,1.000000,1.781250,2.156250,0.843750,1.750000,0.112500,0.175000,0.425000,0.193750,169.000000
4.500000,1.375000,3.000000,1.781250,1.125000,2.750000,0.198437,0.650000,0.800000,0.193750,219.000000
2.875000,5.000000,2.859375,2.062500,0.687500,1.500000,0.260937,0.450000,0.743750,0.162500,225.000000
1.125000,2.750000,1.968750,1.734375,1.093750,4.625000,0.143750,0.875000,0.725000,0.106250,222.000000
4.750000,4.500000,2.156250,2.109375,0.656250,5.000000,0.104688,0.175000,0.537500,0.112500,231.000000
3.750000,1.125000,1.593750,1.828125,1.218750,2.875000,0.221875,0.200000,0.762500,0.212500,191.000000
2.750000,4.750000,1.546875,1.921875,0.718750,2.250000,0.237500,0.525000,0.781250,0.275000,166.000000
1.000000,2.875000,2.812500,1.875000,1.156250,4.875000,0.120313,0.100000,0.612500,0.281250,187.000000
4.625000,3.750000,2.296875,2.015625,0.750000,4.750000,0.096875,0.850000,0.518750,0.300000,172.000000
3.875000,2.000000,2.390625,2.296875,0.812500,1.875000,0.065625,0.575000,0.593750,0.137500,150.000000
1.875000,3.625000,2.765625,2.531250,1.031250,2.125000,0.057813,0.250000,0.650000,0.175000,159.000000
2.375000,1.875000,2.062500,2.953125,0.562500,4.000000,0.214062,0.600000,0.631250,0.131250,162.000000
4.000000,3.875000,1.828125,2.906250,1.468750,3.625000,0.190625,0.225000,0.668750,0.181250,197.000000
3.375000,1.625000,2.015625,2.343750,0.625000,1.750000,0.050000,0.325000,0.556250,0.256250,247.000000
1.625000,3.375000,1.875000,2.812500,1.062500,2.500000,0.081250,0.725000,0.706250,0.243750,244.000000
2.500000,1.750000,2.578125,2.859375,0.500000,4.375000,0.276562,0.375000,0.575000,0.250000,216.000000
4.250000,3.500000,2.718750,3.000000,1.406250,3.375000,0.182812,0.700000,0.687500,0.231250,206.000000
1.500000,4.625000,1.500000,2.718750,0.875000,3.250000,0.151562,0.350000,0.200000,0.206250,181.000000
3.125000,1.000000,1.640625,2.437500,1.312500,4.500000,0.089063,0.550000,0.256250,0.237500,175.000000
4.875000,3.250000,2.531250,2.765625,0.906250,1.375000,0.206250,0.125000,0.275000,0.293750,178.000000
1.250000,1.500000,2.343750,2.390625,1.343750,1.000000,0.245312,0.825000,0.462500,0.287500,169.000000
